"WP_NAME,C,50","WARD,C,5","PRECINCT,C,5","DISTRICT,C,10","POP_2010,N,10,0","TOWN,C,35","TOWN_ID,N,5,0","AREA_SQMI,N,19,11","AREA_ACRES,N,19,11","YEAR,N,10,0","SHAPE_AREA,N,19,11","SHAPE_LEN,N,19,11"
Newton City Ward 8 Precinct 4,8,4,8-4,2639,NEWTON,207,0.967,618.94,2012,2504763.50643,7164.42625876
Peabody City Ward 3 Precinct 3,3,3,3-3,2810,PEABODY,229,0.873,558.55,2012,2260400.23551,9640.47794487
Randolph Town Precinct 3,,3,3,2577,RANDOLPH,244,0.687,439.4,2012,1778206.81055,7558.64251404
Newton City Ward 4 Precinct 1,4,1,4-1,2611,NEWTON,207,0.612,391.75,2012,1585352.71175,8189.16708861
Newton City Ward 3 Precinct 4,3,4,3-4,2614,NEWTON,207,0.347,221.76,2012,897441.773302,4984.37457354
Newton City Ward 3 Precinct 3,3,3,3-3,2705,NEWTON,207,0.38,243.09,2012,983761.565719,4700.56167802
Newton City Ward 2 Precinct 1,2,1,2-1,2597,NEWTON,207,0.444,283.97,2012,1149194.66513,6199.89804604
Newton City Ward 1 Precinct 2,1,2,1-2,2575,NEWTON,207,0.355,227.23,2012,919564.566696,5019.47448334
Pittsfield City Ward 5 Precinct B,5,B,5-B,3146,PITTSFIELD,236,4.925,3151.99,2012,12755686.1516,19815.6791604
Quincy City Ward 1 Precinct 5,1,5,1-5,3078,QUINCY,243,0.446,285.53,2012,1155509.00949,7744.33397477
Newton City Ward 7 Precinct 4,7,4,7-4,2649,NEWTON,207,0.285,182.28,2012,737651.348608,4708.33633771
Newton City Ward 7 Precinct 3,7,3,7-3,2733,NEWTON,207,0.222,141.98,2012,574559.872731,3943.24629552
Newton City Ward 7 Precinct 1,7,1,7-1,2647,NEWTON,207,1.16,742.67,2012,3005486.11148,8482.69907688
Newton City Ward 8 Precinct 2,8,2,8-2,2764,NEWTON,207,0.782,500.66,2012,2026109.34468,6608.19014286
Newton City Ward 8 Precinct 1,8,1,8-1,2761,NEWTON,207,0.865,553.37,2012,2239419.27927,7734.93942203
Quincy City Ward 3 Precinct 2,3,2,3-2,3080,QUINCY,243,0.274,175.06,2012,708451.839472,3951.55015918
Quincy City Ward 3 Precinct 3,3,3,3-3,2973,QUINCY,243,0.456,291.73,2012,1180596.67913,6629.15881123
Newton City Ward 8 Precinct 3,8,3,8-3,2614,NEWTON,207,1.125,719.71,2012,2912591.41384,8095.81260888
Newton City Ward 5 Precinct 1,5,1,5-1,2669,NEWTON,207,0.417,266.72,2012,1079368.42937,4789.80064639
Newton City Ward 6 Precinct 4,6,4,6-4,2728,NEWTON,207,0.633,405.33,2012,1640300.11862,7904.75972639
Newton City Ward 2 Precinct 3,2,3,2-3,2648,NEWTON,207,0.747,478.35,2012,1935836.48046,6559.64453499
Quincy City Ward 4 Precinct 4,4,4,4-4,3187,QUINCY,243,0.26,166.38,2012,673305.083575,4259.44990369
Quincy City Ward 4 Precinct 5,4,5,4-5,3143,QUINCY,243,0.434,277.72,2012,1123883.49238,4941.64563784
Raynham Town Precinct 1,,1,1,3404,RAYNHAM,245,4.446,2845.27,2012,11514456.5089,22844.6333729
Raynham Town Precinct 2,,2,2,3283,RAYNHAM,245,6.066,3882.13,2012,15710476.8582,22591.6538565
